"term","term_label","estimate_cox","hazard_ratio","p_value_cox","estimate_aft","time_ratio","p_value_aft","direction_consistent"
"age","Age (per unit)",0.00247759123853117,1.00248066300404,0.319969391900664,-0.000600192225835146,0.99939998785349,0.783362455841199,TRUE
"avg_monthly_gb_download","Avg Monthly Gb Download (per unit)",0.00103083835338375,1.00103136984985,0.54782398538188,-9.39497842077993e-05,0.999906054628935,0.951056026410913,TRUE
"avg_monthly_long_distance_charges","Avg Monthly Long Distance Charges (per unit)",-0.00277852947432299,0.997225327066033,0.10368159005584,0.00136487495930741,1.00136580682505,0.376333660235621,TRUE
"contractOne Year","Contract: One Year vs Month-to-Month",-1.12883570546597,0.323409581311008,1.19564307867259e-34,0.878833018529149,2.40808787213011,3.10548174772146e-32,TRUE
"contractTwo Year","Contract: Two Year vs Month-to-Month",-2.72524477867191,0.0655301603690665,2.58973165045007e-56,1.64339744384968,5.17271369700393,9.27062227134028e-48,TRUE
"dependentsYes","Dependents: Yes vs No",-0.808278484807428,0.445624555714836,0.000380137348868932,0.683720437992749,1.98123509976682,8.30294768814249e-05,TRUE
"device_protection_planYes","Device Protection Plan: Yes vs No",-0.209451605770538,0.811028887601479,0.000167861177044772,0.222261389717618,1.24889778424195,1.03714635728937e-05,TRUE
"genderMale","Gender: Male vs Female",-0.0939007094726765,0.910373149183453,0.0448575813462217,0.0512241548115169,1.05255880296216,0.223499101678361,TRUE
"internet_serviceYes","Internet Service: Yes vs No",0.482638168161714,1.62034350705993,0.000451715192638696,-0.426676965531784,0.65267435449089,0.000160034194186031,TRUE
"marriedYes","Married: Yes vs No",-0.279664187958529,0.756037585356388,0.0702167482589503,0.200182696017528,1.22162592396501,0.131854282361227,TRUE
"multiple_linesYes","Multiple Lines: Yes vs No",-0.471879569621216,0.623828636313059,4.86376127307679e-18,0.40431810232406,1.4982804776634,8.19000442171821e-17,TRUE
"number_of_dependents","Number of Dependents (per unit)",0.159240175069038,1.17261954684331,0.102605459350686,-0.14947202242045,0.861162530925883,0.0411275039453334,TRUE
"number_of_referrals","Number of Referrals (per unit)",-0.23935367554983,0.787136442222859,1.96192679818888e-17,0.176725576391588,1.19330357751651,1.98786534820186e-16,TRUE
"offerOffer A","Offer: Offer A vs None",-1.01969220874849,0.360705945223319,2.6805993315559e-08,0.247435447319549,1.28073668472927,0.0935965294431469,TRUE
"offerOffer B","Offer: Offer B vs None",-0.803242134908661,0.447874537994047,1.18128005953451e-13,0.795194296119222,2.21487129589737,4.14026095450705e-18,TRUE
"offerOffer C","Offer: Offer C vs None",-0.3091123608707,0.734098281470022,0.00511292961317621,0.668590444360888,1.95148465487401,1.46688677343749e-11,TRUE
"offerOffer D","Offer: Offer D vs None",0.036592056752894,1.03726978731124,0.682657237496935,0.378321905746721,1.45983279581378,3.83690294430762e-06,FALSE
"offerOffer E","Offer: Offer E vs None",1.52637409097653,4.60146205471384,4.53034162689952e-96,-1.28467414730862,0.276740745658194,3.1723903056934e-103,TRUE
"online_backupYes","Online Backup: Yes vs No",-0.496426803501324,0.608701789569025,1.79314378906736e-18,0.387675524300955,1.47355157503131,7.18986634973156e-15,TRUE
"online_securityYes","Online Security: Yes vs No",-0.780058086908248,0.458379384690641,2.86284878691788e-31,0.792850564598505,2.20968631070691,2.64783075878191e-39,TRUE
"paperless_billingYes","Paperless Billing: Yes vs No",0.0291320913143214,1.02956058150396,0.613485066674922,-0.0374174614574689,0.963273921665259,0.45266979720571,TRUE
"payment_methodCredit Card","Payment Method: Credit Card vs Bank Withdrawal",-0.146596151357629,0.86364268792546,0.0139371201749868,0.145976574393186,1.1571690803454,0.00484936265190173,TRUE
"payment_methodMailed Check","Payment Method: Mailed Check vs Bank Withdrawal",0.381003960717269,1.46375340291163,3.65524848208899e-05,-0.42842072620709,0.651537238335102,3.4999278089926e-07,TRUE
"phone_serviceYes","Phone Service: Yes vs No",0.369448332179718,1.44693616632348,0.000128122276916351,-0.291554899371086,0.747100997102212,0.000717374175294368,TRUE
"premium_tech_supportYes","Premium Tech Support: Yes vs No",-0.245297369344482,0.782471820509683,0.00022202214920455,0.229859832345221,1.25842360728104,8.65771242758871e-05,TRUE
"referred_a_friendYes","Referred a Friend: Yes vs No",0.257646351839133,1.2938811590115,0.113652815750176,-0.208771017386633,0.811581052318524,0.137469086203447,TRUE
"satisfaction_score","Satisfaction Score (per unit)",-0.910112242284887,0.40247904633048,2.20114614053591e-273,0.775461917547624,2.17159499337864,7.3349717956526e-233,TRUE
"senior_citizenYes","Senior Citizen: Yes vs No",-0.0525285711520909,0.948827211581959,0.560365892344178,-0.0657366862947476,0.936377392833844,0.419439786211728,FALSE
"streaming_moviesYes","Streaming Movies: Yes vs No",-0.319071765866827,0.72682338632425,0.000303537845240235,0.334267100174501,1.39691621031273,2.53451464147249e-05,TRUE
"streaming_musicYes","Streaming Music: Yes vs No",0.167553205069683,1.18240819862198,0.0566165743893995,-0.195306390199847,0.822582588198534,0.0150166390320422,TRUE
"streaming_tvYes","Streaming Tv: Yes vs No",-0.204718417931363,0.814876738787077,0.000200278887884571,0.13780214529538,1.14774844037889,0.00579681336077232,TRUE
"unlimited_dataYes","Unlimited Data: Yes vs No",0.120304000830103,1.12783966366313,0.0795179943283121,-0.0852251841117919,0.918305473314684,0.175179864096544,TRUE
