"time","hazard"
1,0.835223854449156
1.71,0.0171507198960199
2.42,0
3.13,0.0257173256947785
3.84,0.022042664714674
4.55,0
5.26,0.0119803626287048
5.97,0.0132154573752734
6.68,0.00617470961999799
7.39,0.000770381786061623
8.1,0.0136625214785923
8.81,0.0126371101376994
9.52,0
10.23,0.0109109855931549
10.94,0.011277864792383
11.65,0.00332413704217561
12.36,0.00268077943171851
13.07,0.0143220503543951
13.78,0.00663735613741261
14.49,0
15.2,0.0111959364623154
15.91,0.0109667560295975
16.62,0.00101418668754804
17.33,0.00344938371116392
18.04,0.0101814713880625
18.75,0.00504954456569179
19.46,0
20.17,0.00655777125380998
20.88,0.00699914327738488
21.59,0
22.3,0.00540259134432562
23.01,0.00610927397450524
23.72,0.00560917510328183
24.43,0
25.14,0.00992483436745445
25.85,0.00646986778173637
26.56,0
27.27,0.00361133049518976
27.98,0.00626374226487592
28.69,0.00316288371186972
29.4,0
30.11,0.00803286635240778
30.82,0.00706887504692387
31.53,0
32.24,0.00685852096117567
32.95,0.00795628336170191
33.66,0.00193603385891371
34.37,0.000989886865558698
35.08,0.00866531324151148
35.79,0.00446357863202398
36.5,0
37.21,0.0068136170246476
37.92,0.00802027246915274
38.63,0.00128501064814517
39.34,0.00251324086664228
40.05,0.00855135534909763
40.76,0.00611170043099055
41.47,0
42.18,0.00783118140440955
42.89,0.00997389542014827
43.6,0
44.31,0.0017534289048163
45.02,0.00451041723138891
45.73,0.00501731733055993
46.44,0
47.15,0.00956854896330699
47.86,0.00646785977765221
48.57,0
49.28,0.0064273245574392
49.99,0.00868733982334469
50.7,0.00311460456521797
51.41,0
52.12,0.00675379693357648
52.83,0.0110633028128799
53.54,0
54.25,0.00792660364309127
54.96,0.00926520150817784
55.67,0.00340630217220842
56.38,0.00100151986734339
57.09,0.00857780304451138
57.8,0.00966141624136052
58.51,0
59.22,0.00682939315555864
59.93,0.00744250681072498
60.64,0.00200138034990775
61.35,0.00248168964514429
62.06,0.00694580002499849
62.77,0.00400832227704513
63.48,0
64.19,0.0049366634259355
64.9,0.0145235171098172
65.61,0.00106470476006395
66.32,0.0085337463104298
67.03,0.0202402342222996
67.74,0.0116299577057418
68.45,0
69.16,0.0171888776232157
69.87,0.029169573258554
70.58,0
71.29,0.0105511814756036
72,0.280750927218612
