"term_label","hazard_ratio","conf_low","conf_high","p_value"
"Contract: Two Year vs Month-to-Month",0.0655301603690665,0.0467444502437487,0.091865491959013,2.58973165045007e-56
"Contract: One Year vs Month-to-Month",0.323409581311008,0.270078986293583,0.387270993271817,1.19564307867259e-34
"Offer: Offer A vs None",0.360705945223319,0.251811743031517,0.516690672774395,2.6805993315559e-08
"Satisfaction Score (per unit)",0.40247904633048,0.382661404027923,0.423323024036341,2.20114614053591e-273
"Dependents: Yes vs No",0.445624555714836,0.285335038968936,0.695958145812104,0.000380137348868932
"Offer: Offer B vs None",0.447874537994047,0.362240161956849,0.553753070062054,1.18128005953451e-13
"Online Security: Yes vs No",0.458379384690641,0.401918544974329,0.522771747998816,2.86284878691788e-31
"Online Backup: Yes vs No",0.608701789569025,0.544778528959076,0.680125682141866,1.79314378906736e-18
"Multiple Lines: Yes vs No",0.623828636313059,0.560615469547327,0.694169513014763,4.86376127307679e-18
"Streaming Movies: Yes vs No",0.72682338632425,0.611282694051959,0.864202831272935,0.000303537845240235
